
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.407602 -0.582583  0 
-0.416784 -0.586587  0 
-0.424242 -0.589817  0 
-0.42648 -0.590591  0 
-0.43814 -0.594595  0 
-0.449878 -0.598599  0 
-0.461695 -0.602603  0 
-0.464646 -0.603596  0 
-0.477014 -0.606607  0 
-0.493572 -0.610611  0 
-0.505051 -0.613368  0 
-0.513932 -0.614615  0 
-0.542654 -0.618619  0 
-0.545455 -0.619007  0 
-0.585859 -0.620299  0 

-0.00115879  0.034034  0 
-0.000902171  0.03003  0 
-0.000677631  0.026026  0 
-0.000485167  0.022022  0 
-0.000324782  0.018018  0 
-0.000196473  0.014014  0 
-0.000100241  0.01001  0 
-3.60868e-05  0.00600601  0 
-4.00965e-06  0.002002  0 
-4.00965e-06 -0.002002  0 
-3.60868e-05 -0.00600601  0 
-0.000100241 -0.01001  0 
-0.000196473 -0.014014  0 
-0.000324782 -0.018018  0 
-0.000485167 -0.022022  0 
-0.000677631 -0.026026  0 
-0.000902171 -0.03003  0 
-0.00115879 -0.034034  0 
-0.00144748 -0.038038  0 
-0.00176825 -0.042042  0 
-0.0021211 -0.046046  0 
-0.00250603 -0.0500501  0 
-0.00292303 -0.0540541  0 
-0.00337211 -0.0580581  0 
-0.00385327 -0.0620621  0 
-0.00436651 -0.0660661  0 
-0.00491182 -0.0700701  0 
-0.00548921 -0.0740741  0 
-0.00609868 -0.0780781  0 
-0.00674022 -0.0820821  0 
-0.00741384 -0.0860861  0 
-0.00811954 -0.0900901  0 
-0.00885731 -0.0940941  0 
-0.00962717 -0.0980981  0 
-0.0104291 -0.102102  0 
-0.0112631 -0.106106  0 
-0.0121292 -0.11011  0 
-0.0130273 -0.114114  0 
-0.0139576 -0.118118  0 
-0.0149199 -0.122122  0 
-0.0159143 -0.126126  0 
-0.0169408 -0.13013  0 
-0.0179993 -0.134134  0 
-0.0190899 -0.138138  0 
-0.020202 -0.142104  0 
-0.0213732 -0.146146  0 
-0.0225659 -0.15015  0 
-0.0237908 -0.154154  0 
-0.025048 -0.158158  0 
-0.0263374 -0.162162  0 
-0.027659 -0.166166  0 
-0.0290129 -0.17017  0 
-0.030399 -0.174174  0 
-0.0318173 -0.178178  0 
-0.0332679 -0.182182  0 
-0.0347507 -0.186186  0 
-0.0362658 -0.19019  0 
-0.0378131 -0.194194  0 
-0.0393926 -0.198198  0 
-0.0410043 -0.202202  0 
-0.0426483 -0.206206  0 
-0.0443246 -0.21021  0 
-0.046033 -0.214214  0 
-0.0477737 -0.218218  0 
-0.0495467 -0.222222  0 
-0.0513518 -0.226226  0 
-0.0531892 -0.23023  0 
-0.0550589 -0.234234  0 
-0.0569607 -0.238238  0 
-0.0588948 -0.242242  0 
-0.0606061 -0.245727  0 
-0.060865 -0.246246  0 
-0.0628935 -0.25025  0 
-0.0649548 -0.254254  0 
-0.0670488 -0.258258  0 
-0.0691755 -0.262262  0 
-0.0713349 -0.266266  0 
-0.073527 -0.27027  0 
-0.0757519 -0.274274  0 
-0.0780094 -0.278278  0 
-0.0802997 -0.282282  0 
-0.0826227 -0.286286  0 
-0.0849785 -0.29029  0 
-0.0873669 -0.294294  0 
-0.0897881 -0.298298  0 
-0.0922419 -0.302302  0 
-0.0947285 -0.306306  0 
-0.0972479 -0.31031  0 
-0.0997999 -0.314314  0 
-0.10101 -0.316189  0 
-0.10242 -0.318318  0 
-0.105104 -0.322322  0 
-0.107823 -0.326326  0 
-0.110574 -0.33033  0 
-0.113359 -0.334334  0 
-0.116178 -0.338338  0 
-0.119031 -0.342342  0 
-0.121916 -0.346346  0 
-0.124836 -0.35035  0 

-0.177402  0.414414  0 
-0.173817  0.41041  0 
-0.170267  0.406406  0 
-0.166751  0.402402  0 
-0.163271  0.398398  0 
-0.159825  0.394394  0 
-0.156414  0.39039  0 
-0.153038  0.386386  0 
-0.149697  0.382382  0 
-0.14639  0.378378  0 
-0.143118  0.374374  0 
-0.141414  0.372266  0 
-0.139936  0.37037  0 
-0.136849  0.366366  0 
-0.133796  0.362362  0 
-0.130775  0.358358  0 
-0.127789  0.354354  0 
